treebank 	Norwegian-Nynorsk	English-LinES	French-Sequoia	Finnish-FTB	Indonesian-GSD	Ukrainian-IU	Dutch-LassySmall	Portuguese-Bosque	Italian-PoSTWITA	Latin-ITTB	Estonian-EDT	Croatian-SET	Gothic-PROIEL	Italian-ISDT	Norwegian-Bokmaal	Latvian-LVTB	Vietnamese-VTB	Greek-GDT	Spanish-GSD	Catalan-AnCora	English-EWT	Swedish-LinES	Russian-SynTagRus	Czech-PDT	Polish-LFG	Basque-BDT	Slovak-SNK	Spanish-AnCora	Finnish-TDT	Ancient_Greek-Perseus	Romanian-RRT	Latin-PROIEL	Hungarian-Szeged	Turkish-IMST	Slovenian-SSJ	Swedish-Talbanken	Italian-ParTUT	Czech-FicTree	Bulgarian-BTB	Ancient_Greek-PROIEL	Czech-CAC	Japanese-GSD	Korean-Kaist	English-GUM	Romanian-Nonstandard	German-GSD	Old_Church_Slavonic-PROIEL	Danish-DDT	Afrikaans-AfriBooms	French-GSD	Dutch-Alpino	Polish-SZ	Serbian-SET	Russian-GSD	English-ParTUT	Uyghur-UDT	Russian-avg	English-avg	Japanese-GSDOrig	Japanese-GSDLUWOrig	Japanese-GSDOrig1	Japanese-GSDOrig2	Japanese-GSDLUWOrig1	Japanese-GSDLUWOrig2
Czech-PDT	0.9006753936112362	0.9706705502069114	0.9722818567941849	0.9867341823084569	0.9383662128331437	0.9757183506805666	0.7986183306085546	0.9711698953960461	0.9395123264720526	0.9902394891783979	0.9867511609057074	0.9432133843914619	0.9949610433214318	0.9418562394887933	0.8862478225312741	0.9935569690772874	0.6379545615937051	0.9951069847139483	0.940264926558973	0.9414706830787056	0.9682908672208199	0.9447685641712138	0.9974138558616022	1.0	0.9988287816023312	0.9443388583013665	0.9922332027272827	0.9378369949932541	0.9629935186522407	0.982825367405213	0.9517075490089177	0.9879268030806424	0.9689027877242212	0.9950604583558297	0.9689133072278422	0.9888909075731254	0.9467399673236092	0.9989973176958786	0.9938846679747496	0.9881890007825059	0.9996041620976259	0.6344283829029203	0.6401462395122844	0.8939815794837207	0.9916718861584147	0.9913718326433529	0.9903556044124558	0.949020137166949	0.8009553318558165	0.9411035405185333	0.797478938873754	0.9803170147965612	0.9134991609823052	0.9990004063574115	0.9000357596691666	0.9963270200420744	0.9986337554027598	0.9266976801428629	0.633814003789804	0.6318090881441055	0.9973727088882693	0.9978180776372243	0.9962079677940971	0.997222813541032
Polish-LFG	0.9194549336351263	0.9808172401741458	0.9819307110196867	0.9784332836270723	0.950527637157171	0.9841386322575857	0.8243185469330442	0.9808869572442862	0.9543295487893534	0.9861165380185403	0.9923297063752302	0.9570158695991092	0.9947189110811965	0.9561000836158927	0.9063435751941454	0.9873712884185314	0.6674393734003825	0.998225923425791	0.9546823786017309	0.955921581009811	0.9787626453297725	0.9587033722165992	0.9991092980495417	0.9988287816023312	1.0	0.9288558477350238	0.9968042252848444	0.9526112259038199	0.9496871443601103	0.989339628373984	0.9646458151695635	0.9936676556646812	0.9787148834570528	0.9908892741729305	0.9791672370497494	0.9945340105362487	0.960484709866129	0.9994101059324311	0.9978018364910617	0.9929320911155994	0.9996738094312926	0.6643846149248173	0.6690360330929486	0.9133048029089877	0.9949768106168528	0.9960749273834902	0.9902670604622924	0.9623638349240153	0.8275841608901878	0.9552697788334845	0.8236111608375281	0.988060076309291	0.9305299408962857	0.9979628279841795	0.9188424785693494	0.99221826859852	0.9989247596241693	0.94285724721543	0.6637938910780457	0.6617067670821711	0.9965580297381461	0.9970999245691176	0.9958604483984579	0.9963770375153478
Basque-BDT	0.708503083146694	0.8395156554600781	0.8430229501467387	0.9850053893312694	0.7757344921011361	0.849608613487606	0.5567943416128949	0.8393621851079015	0.7762428299689625	0.9687645666261262	0.8796198036428197	0.7826161654109547	0.9452956888919274	0.7803837649778473	0.6854699097497363	0.9754535121342831	0.35686279847057867	0.9175731230286419	0.7767094077115272	0.7794620720608368	0.8336287685660665	0.7853294772659496	0.9191389172429254	0.9443388583013665	0.9288558477350238	1.0	0.8965725013123665	0.7724067327672413	0.9977779219207525	0.8761304031509313	0.798968657643848	0.8912959159260709	0.8341083725412385	0.9637488988889624	0.8348082882509544	0.8858656417934382	0.7905533247084471	0.9378005584642348	0.9027796163080329	0.903530113839742	0.9353486436547049	0.35198460057987874	0.35983495241266444	0.6975742018309047	0.9194409207646985	0.8934475530925664	0.9431503105062755	0.7933328763138411	0.5615452316961049	0.7783627208562612	0.5552850471642148	0.8612916378211336	0.731046223504822	0.9368448958216604	0.7075727652418553	0.9643867219098066	0.928614560434851	0.7525563451795717	0.35133721854289857	0.3492298080270465	0.9305940048216694	0.9328687163563169	0.924579042756598	0.9297791175068595
Slovak-SNK	0.9476264818523975	0.9927369103895417	0.9936693771020991	0.9592255654788888	0.9714221414520082	0.9951162159078613	0.8667741494750069	0.9932179137379429	0.9747344852198517	0.9716401433235906	0.9986545233635136	0.9770419766544419	0.9869337818533119	0.9762510593579278	0.9368854905913861	0.9718796744109223	0.7238271383857446	0.9970252290456562	0.9752549752655559	0.9760536651537188	0.9915623538305255	0.978129914762815	0.9981657700332356	0.9922332027272827	0.9968042252848444	0.8965725013123665	1.0	0.9736827613514406	0.9220978294446169	0.9959375585650249	0.9824782381703633	0.9974395654944106	0.9918704746549644	0.9790305998402478	0.9921332439322759	0.9995209123218751	0.9792628507968202	0.9940468451016591	0.999847821134282	0.9938566954554173	0.9952042236749382	0.7211724306270441	0.7251958471411473	0.9426121887300728	0.9925507247989148	0.9997484721687768	0.9821784019008482	0.9807161575323491	0.8688407641922852	0.9757484651086183	0.8660625495470966	0.9971801308724404	0.9566107965740616	0.9931754439783296	0.9470691764173115	0.9802976356768649	0.9960046114965316	0.9660971920810384	0.720616786094854	0.7186231308461112	0.9930181321108469	0.9932432240165522	0.9934615102256507	0.9928563406423552
Spanish-AnCora	0.9954197354634662	0.9929054822947034	0.9926222884821535	0.8697571738903933	0.9937557798678733	0.9905890043202494	0.9571276597618431	0.9935000397901614	0.9997970585750058	0.897225979683831	0.980197576346559	0.9994766765070896	0.9311927572192599	0.9997294558701002	0.9918653897268356	0.8927509622233509	0.8535594609029884	0.9595517834967916	0.9999628502470099	0.9998969493371567	0.9940821750292278	0.9997372889280632	0.9592627512929175	0.9378369949932541	0.9526112259038199	0.7724067327672413	0.9736827613514406	1.0	0.8097730246975329	0.9788496285272972	0.9989949324818641	0.9736337051985889	0.9941554491663769	0.90949461979993	0.9943658954027709	0.9787044297159582	0.9991415971629872	0.9442952561837457	0.9703414401004204	0.962590886559269	0.946846573303203	0.8523053058908567	0.8533297324182847	0.9937768135839672	0.9526513771077633	0.9748521391494838	0.9258037809951762	0.9992181948975497	0.958384156083362	0.9998046398629981	0.9570159224640958	0.98778694738008	0.9968637111922469	0.942691685037949	0.995182319116171	0.9109718784641021	0.9511318329891978	0.999317289779955	0.8518756501666406	0.8500194346014128	0.9455133227179164	0.9449690366409055	0.949086068944299	0.9454991610202791
Finnish-TDT	0.7503425721238988	0.8707325095216973	0.8740677176998308	0.9937048144574759	0.8148089218746315	0.8809021906896782	0.6073692146760449	0.8711625046804926	0.8129144276562041	0.9793245791308887	0.9077222222433098	0.8193571372936445	0.960882378830698	0.8169945645458426	0.7287083737759156	0.9872434869321276	0.415812059298562	0.938741162427636	0.8138480121452716	0.8160783704537455	0.8656515519538668	0.8216601599504949	0.9420281809815719	0.9629935186522407	0.9496871443601103	0.9977779219207525	0.9220978294446169	0.8097730246975329	1.0	0.9029208033573897	0.834112388192421	0.9157444986245894	0.866779823373782	0.9774611824757201	0.8667677846332572	0.9126813179216736	0.825980043750274	0.9565915512713653	0.9275354603311213	0.9251174391340875	0.9554559049811486	0.4108566208869289	0.41915366556983263	0.7402207766469234	0.9386187051133725	0.9196356215517549	0.9576576907880922	0.8291066664137831	0.6105597617464636	0.815462666858	0.6055540507974472	0.891028600859202	0.771384052361888	0.9573969315921051	0.7494962903949098	0.9783233753855997	0.9503114635594938	0.7913368140553361	0.4101843552440109	0.4081915290303791	0.9523745640007379	0.9539014384139092	0.9474681531793339	0.9518848912233402
Ancient_Greek-Perseus	0.9557166429873855	0.9917218153831135	0.9950132550778544	0.9452503452038871	0.9752815150147582	0.9948569535401297	0.8831148826563584	0.9936283159050383	0.9794418083663348	0.9632932950990437	0.9971404601705348	0.9832623031614104	0.9822988589876914	0.9822598421568827	0.9463570650169867	0.958395583314179	0.7517697717871372	0.9937642516726727	0.9800470329885845	0.9808243980854873	0.9905155336160216	0.9818549112312077	0.992216556236598	0.982825367405213	0.989339628373984	0.8761304031509313	0.9959375585650249	0.9788496285272972	0.9029208033573897	1.0	0.986969309168225	0.9985093785243762	0.9923742619905926	0.9723114774778697	0.9940584128202582	0.9956524882988192	0.9850533631384188	0.9862610440857537	0.9948163219556958	0.9959049549750305	0.9873847572682708	0.7503221363991568	0.7524271471727298	0.9507912278932911	0.9905199183246975	0.9946990919232137	0.9804752277724763	0.9830214512953571	0.8821804911568086	0.9813379680988348	0.8823801813861761	0.9963273727103795	0.9675703932199476	0.9846510140929743	0.9546476848440555	0.9715093159208885	0.9887289935485574	0.9710188325138404	0.7498648368019355	0.7479633341656553	0.9846727290113874	0.987235729098411	0.9846269748915714	0.9830480375286935
Romanian-RRT	0.990223247457528	0.9965587655913493	0.9968892683328311	0.8902127376810577	0.9933857202342082	0.9953400563179365	0.9438912996292725	0.9973472265190757	0.9989815962839184	0.9155368854240311	0.9877067240299859	0.9994680198201022	0.9461622568776236	0.999457285791549	0.9853205459426716	0.9111573750268457	0.8332750453127974	0.9708348491450691	0.9992390289520406	0.9993594101675786	0.9972168984434064	0.9995283648986042	0.9704259887500314	0.9517075490089177	0.9646458151695635	0.798968657643848	0.9824782381703633	0.9989949324818641	0.834112388192421	0.986969309168225	1.0	0.9827409462191958	0.9975775859153083	0.9269965301921204	0.9980153220991628	0.9863736338447	0.9996216422603311	0.9574517649176552	0.9796672701395438	0.9734118747941609	0.959703403588891	0.8318927895437337	0.8332403950123027	0.9878659606980589	0.964687732379349	0.9831666843979429	0.9413766132572027	0.9994482091882319	0.9448713515595593	0.9993417770494468	0.9436432832424553	0.9934797810604145	0.9937656591199752	0.9558792679524246	0.9898465383549798	0.9281115648997016	0.9633403690713289	0.9967927091772364	0.8314591964330581	0.8295753418711519	0.9581164093036287	0.9580858797302538	0.9609460344529217	0.9578125858360306
Latin-PROIEL	0.9480008265190897	0.9913457296251371	0.9933149725849014	0.9547973992894477	0.9670222376266454	0.992577165443811	0.8681340768471797	0.9917500806650278	0.9750492929074751	0.97317961826864	0.9959486627194015	0.9773998437555683	0.989334798351698	0.976914798425748	0.9376548078419339	0.9670361111879745	0.7249734246497515	0.9976646849884003	0.9748844603337452	0.9762071051272827	0.989595859177655	0.9776370210165418	0.9945684603961966	0.9879268030806424	0.9936676556646812	0.8912959159260709	0.9974395654944106	0.9736337051985889	0.9157444986245894	0.9985093785243762	0.9827409462191958	1.0	0.9896847912896198	0.9783763458996331	0.9916591195414889	0.9968911836556517	0.980617679443467	0.9919006733054487	0.9969573969067209	0.9985817591142163	0.9916131548646516	0.723304232555748	0.7248351420187993	0.9427017668501803	0.9961282816628557	0.995992876453011	0.987414465641032	0.9794295101836085	0.870773077948314	0.9756514234349372	0.86797830144642	0.9951572331597235	0.9588556431613221	0.987860115239908	0.9471852925126504	0.9783687247746001	0.9915225606440627	0.9656958986048848	0.722903817930937	0.7207193389518243	0.9870411604805855	0.9892267425657655	0.9865739979334344	0.9855256203922416
Hungarian-Szeged	0.9796221079621089	0.9985730175323517	0.9993441496169952	0.9163719264604262	0.9922105499797406	0.9994374789788981	0.9225183851043737	0.9997622312712581	0.9942285974477718	0.9358160967793866	0.9955260404237647	0.995665526281291	0.9612206092321982	0.9952065238935067	0.9727278688885046	0.9348855375680298	0.8037856272436188	0.981853164071096	0.9949044197786606	0.9950180328219485	0.9988171016926224	0.9960211678758403	0.9837188615555712	0.9689027877242212	0.9787148834570528	0.8341083725412385	0.9918704746549644	0.9941554491663769	0.866779823373782	0.9923742619905926	0.9975775859153083	0.9896847912896198	1.0	0.9471972807105686	0.9993818225856992	0.9946628161415648	0.9961688608560874	0.9723345121944513	0.9901241396758536	0.9811456618661247	0.9752145201251121	0.8013910599737315	0.8043036918007542	0.9765402219772586	0.9748831611655794	0.9927289680267085	0.95547097392732	0.9969069513796084	0.9229234666251027	0.9952111918143169	0.9216151574554422	0.9985356076206768	0.985029821081075	0.9729519536062193	0.9794239645464672	0.9487401296331349	0.9785819401897735	0.9902065697233069	0.8009161440755592	0.7990876877610634	0.9750250181391334	0.9744060808147961	0.977435766143159	0.9750073599221405
Turkish-IMST	0.8656866816814499	0.9485927360125664	0.9527236249761153	0.9944015025025618	0.910964689531288	0.9560296362535672	0.7532578249356913	0.9502071474386147	0.9113309854952076	0.9969291589140389	0.9720559345913353	0.9173085813151836	0.9956373471622381	0.9153693675298458	0.8494033611050017	0.996953722541526	0.5882269652554514	0.9878751208686168	0.9121957482885115	0.9138391646203564	0.9450146985894191	0.9173364512447907	0.9884565473961504	0.9950604583558297	0.9908892741729305	0.9637488988889624	0.9790305998402478	0.90949461979993	0.9774611824757201	0.9723114774778697	0.9269965301921204	0.9783763458996331	0.9471972807105686	1.0	0.948022637830709	0.9738127635188049	0.9219133737713038	0.9932895659382326	0.9815216763783634	0.9825987959012004	0.9933344753677434	0.5847978469358495	0.5896808270553286	0.8577451098648923	0.987030194291493	0.9766455622252576	0.9939231426623856	0.9216406156778117	0.7537528657594167	0.9139452101160124	0.751703161803116	0.9622647685925242	0.884312728479963	0.9931973677719699	0.8647745574825965	0.999626313561256	0.991294518480593	0.895366184947819	0.5843406012482592	0.5823228066918908	0.9907271285293481	0.9931917861101562	0.9877473863376023	0.9889891343952057
Slovenian-SSJ	0.9797400415322243	0.9990715154793931	0.9997154948391918	0.9168307910775813	0.9893253242636765	0.9990170451831146	0.9215451780484142	0.9997338077907134	0.9947992780853133	0.937873070458614	0.9951596555215644	0.9958486405218784	0.9636347721861639	0.9956402281288943	0.9728754656346411	0.9349362400180476	0.7991012214395086	0.9836320827637108	0.9950676995573652	0.9954559517298517	0.9991114827529319	0.9961628379990028	0.9833485794207474	0.9689133072278422	0.9791672370497494	0.8348082882509544	0.9921332439322759	0.9943658954027709	0.8667677846332572	0.9940584128202582	0.9980153220991628	0.9916591195414889	0.9993818225856992	0.948022637830709	1.0	0.9944769241556665	0.9967641837478181	0.9735423303430737	0.9901369696341683	0.9844993869325244	0.9752631561697015	0.7974492790135974	0.7996222212529598	0.9764178755961785	0.9780393546833025	0.9925013469084174	0.9589701981844446	0.9969607718246138	0.9229641842581735	0.9953279406232513	0.9212378816538533	0.9985586227276657	0.9851540125477192	0.9718355512428422	0.9792103799063281	0.9490752351853526	0.9778279059769945	0.9902633247702605	0.7969372463876422	0.7950120701897482	0.9730798356692393	0.9733920677163507	0.9750493620378539	0.9728546832149422
